label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
acidic_igneous_rock lithology in British Columbia	average magnetic susceptibility acidic_igneous_rock	0.00326	0.00995	10	GF INSTRUMENTS SM-20	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.03157 SI magnetic susceptibility"	
acidic_igneous_rock lithology in British Columbia	average density of unaltered acidic_igneous_rock	2.61	0.09	12	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.44 g/cm3, max density is 2.81 g/cm3"	
acidic_igneous_rock lithology in British Columbia	average magnetic susceptibility acidic_igneous_rock	0.00302	0.00558	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00008 SI magnetic susceptibility, max susceptibility is 0.01139 SI magnetic susceptibility"	
acidic_igneous_rock lithology in British Columbia	average magnetic susceptibility acidic_igneous_rock	0.01245	0.01706	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00013 SI magnetic susceptibility, max susceptibility is 0.03880 SI magnetic susceptibility"	
amphibolite lithology in British Columbia	average density of unaltered amphibolite	2.84	0.14	12	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.52 g/cm3, max density is 2.99 g/cm3"	
amphibolite lithology in British Columbia	average magnetic susceptibility amphibolite	0.01182	0.02199	153	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 153 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.12900 SI magnetic susceptibility"	
amphibolite lithology in British Columbia	average magnetic susceptibility amphibolite	0.00155	0.00415	17	GF INSTRUMENTS SM-20	"average value and standard deviation from 17 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00021 SI magnetic susceptibility, max susceptibility is 0.01748 SI magnetic susceptibility"	
amphibolite lithology in British Columbia	average magnetic susceptibility amphibolite	0.05064	0.04021	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00171 SI magnetic susceptibility, max susceptibility is 0.09360 SI magnetic susceptibility"	
amphibolite lithology in Brooks Diorite complex	average  Magnetic_Susceptibility for amphibolite in the Brooks Diorite complex	0.00731	0.00593	7	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00260  SI magnetic susceptibility, max susceptibility is 0.02010  SI magnetic susceptibility"	Brooks Diorite complex
amphibolite lithology in Horsetheif Creek Group	average  Magnetic_Susceptibility for amphibolite in the Horsetheif Creek Group	0.00458	0.0086	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00022  SI magnetic susceptibility, max susceptibility is 0.01748  SI magnetic susceptibility"	
