Abbreviation,Explanation,Units
Den_mu_kgm3,‘mu’ (mean) density kilograms per metre^3,kg/m^3
Den_sigma_kgm3,‘sigma’ (standard deviation) density (same units),kg/m^3
1_Susc_mu_10-5SI,‘1’ population “1” - mean magnetic susceptibility (SI units 10^-5) [dimensionless ratio],10^-5
1_Susc_sigma_10-5SI,‘1’ population “1” standard dev. Mag. Susc (same units),10^-5
2_Susc_mu_10-5SI,‘2’ population “2” mean magnetic susceptibility (SI units 10^-5); second population if histogram shows bi-modality,10^-5
2_Susc_sigma_10-5SI, ‘2’ population “2” standard dev. Mag. Susc (same units),10^-5
Bimodal_proportion_1,proportion of the sample represented by pop. 1,
Bimodal_proportion_2,proportion of the sample represented by pop. 2,
RM_mean_A/m,mean remanent magentisation A/m (“ampere-turn per meter”),A/m
RM_sigma_A/m,std.dev of mean remanent magentisation A/m,A/m
RM_dip,"remnant magnetization, dip angle",degree
RM_declination,"remnant magnetization, declination angle.",degree
