FID,SAMPLINGFEATURENO,SAMPLINGFEATURENAME,SAMPLINGFEATURETYPE,SAMPLENO,SAMPLENAME,SAMPLETYPE,PROPERTY,REMANENTMAGNETISATION,UNITOFMEASURE,RESULTQUALIFIER,MAGNETISATIONUNCERTAINTY,UNCERTAINTYUOM,UNCERTAINTYTYPE,ANGULARUNCERTAINTY,ANGULARUNCERTAINTYUOM,ANGULARUNCERTAINTYTYPE,RAWINCLINATION,RAWINCLINATIONUOM,RAWDECLINATION,RAWDECLINATIONUOM,INCLINATION,INCLINATIONUOM,DECLINATION,DECLINATIONUOM,DEMAGFIELD,DEMAGFIELDUOM,DEMAGTEMPERATURE,DEMAGTEMPERATUREUOM,DEMAGPRESSURE,DEMAGPRESSUREUOM,STRATIGRAPHICUNITNAME,PROVINCENAME,MATERIALCLASS,LITHOLOGYGROUP,LITHOLOGY,SAMPLE_LONGITUDE,SAMPLE_LATITUDE,SAMPLE_ELEVATION,BOREHOLECOLLARLONGITUDE,BOREHOLECOLLARLATITUDE,BOREHOLECOLLARELEVATION,BOREHOLEINTERVALBEGIN_M,BOREHOLEINTERVALEND_M,SAMPLEAZIMUTH,SAMPLEPLUNGE,SAMPLEHADE,SAMPLINGDATE,LOCATIONACCURACY_M,LOCATIONMETHOD,SAMPLEORIGINATOR,SAMPLINGLOCATIONREMARK,PROCESSTYPE,METHOD,INSTRUMENT,ANALYSISDATETIME,ANALYSISORIGINATOR,ANALYSISLOCATIONREMARK,NUMERICALCONFIDENCE,METADATAQUALITY,SUMMARYCONFIDENCE,SOURCETYPE,SOURCE,RESULTID,GEOM,PROJECT
remanent_magnetisation.145598,545501,S2501,field site,2123481,S2501,outcrop sample,remanent magnetisation,1226.15,milliampere per metre,mean,108,milliampere per metre,1 sigma,8.3,degree,alpha95,,,,,16.1,degree,231.1,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.6880535,-27.94289618,488,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.6880535038 -27.9428961806),
remanent_magnetisation.145599,545502,S2502,field site,2123482,S2502,outcrop sample,remanent magnetisation,470.65,milliampere per metre,mean,28,milliampere per metre,1 sigma,5.2,degree,alpha95,,,,,-3.3,degree,130.3,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.6880535,-27.94289618,488,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.6880535038 -27.9428961806),
remanent_magnetisation.145571,545475,S0101,field site,2123455,S0101,outcrop sample,remanent magnetisation,253.65,milliampere per metre,mean,3,milliampere per metre,1 sigma,2.1,degree,alpha95,,,,,-50.7,degree,93.1,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.62663372,-27.96982182,514,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.6266337163 -27.9698218206),
remanent_magnetisation.145572,545476,S0201,field site,2123456,S0201,outcrop sample,remanent magnetisation,2.38,milliampere per metre,mean,1,milliampere per metre,1 sigma,34,degree,alpha95,,,,,-30,degree,86.1,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.60216958,-27.97681423,498,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.602169583 -27.9768142309),
remanent_magnetisation.145573,545477,S0301,field site,2123457,S0301,outcrop sample,remanent magnetisation,3.1,milliampere per metre,mean,0,milliampere per metre,1 sigma,3.1,degree,alpha95,,,,,-63.3,degree,110.9,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.58558824,-27.98250618,501,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.58558824 -27.9825061801),
remanent_magnetisation.145590,545494,S1901,field site,2123474,S1901,outcrop sample,remanent magnetisation,473.16,milliampere per metre,mean,34,milliampere per metre,1 sigma,180,degree,alpha95,,,,,51.5,degree,210.3,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.54082485,-28.03225738,521,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.5408248501 -28.0322573802),
remanent_magnetisation.145591,545495,S1902,field site,2123475,S1902,outcrop sample,remanent magnetisation,44.32,milliampere per metre,mean,8,milliampere per metre,1 sigma,46.6,degree,alpha95,,,,,-87,degree,310.1,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.54082485,-28.03225738,521,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.5408248501 -28.0322573802),
remanent_magnetisation.145597,545500,S2301,field site,2123480,S2301,outcrop sample,remanent magnetisation,2.19,milliampere per metre,mean,0,milliampere per metre,1 sigma,12.8,degree,alpha95,,,,,-39.4,degree,135.6,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.50956855,-28.0560366,473,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.5095685535 -28.056036605),
remanent_magnetisation.145595,545499,S2201,field site,2123479,S2201,outcrop sample,remanent magnetisation,42.67,milliampere per metre,mean,6,milliampere per metre,1 sigma,7.2,degree,alpha95,,,,,70.2,degree,137.5,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.52033283,-28.10588208,457,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.5203328332 -28.1058820786),
remanent_magnetisation.145594,545498,S2101,field site,2123478,S2101,outcrop sample,remanent magnetisation,0.45,milliampere per metre,mean,0,milliampere per metre,1 sigma,16.9,degree,alpha95,,,,,-5.7,degree,332.3,degree,140,millitesla,22,degree Celsius,1,atmosphere,,Yilgarn Craton,,,,120.50388597,-28.03831257,483,,,,,,,,,,100,GPS observation,"Roach, I.C.",,laboratory measurement,remanent magnetisation - moderate precision,Molspin spinner magnetometer - RSES Black Mountain; ScT cryogenic magnetometer - RSES Black Mountain,,"Williams, N.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,URL,http://dx.doi.org/10.1080/08120090903246220,,POINT (120.5038859681 -28.0383125671),
